age_calBP,WTD
-58.1,3.2
-56.35,23.55
-53.7,18.65
-52.45,9.38
-52.4,12.36
-52,14.31
-51.65,7.86
-51.15,12.81
-50.65,7.64
-50.3,7.55
-49.85,13.13
-49.3,10.61
-48.9,4.58
-48.35,9.57
-47.55,6.21
-45.9,9.36
-44,9.83
-42.7,11.09
-42.4,8.69
-40.85,9.03
-38.9,8.18
-36.65,22.71
-34.9,9.71
-33.2,17.22
-32.65,14.98
-30.2,9.67
-27.55,15.99
-26.2,6.61
-22.9,12.08
-22.5,15.23
-22.5,16.48
-22.3,8.54
-19.95,8.29
-19,7.97
-17.95,9.42
-17.5,17
-17.1,23.23
-17,5.99
-16.65,2.83
-16.05,6.13
-12.4,15.95
-10.2,12.54
-10.15,1.84
-7.2,14.16
-2.1,11.47
0.55,3.44
2.5,22.5
3.05,14.98
6.7,10.65
8.2,6.12
8.9,22.25
9.3,16.94
11.35,11.06
13.25,9.56
22.15,20.05
22.2,8.07
24.6,10.67
26.9,14.17
33.05,6.97
36.4,13.25
41.7,25.32
41.85,18.93
43.6,10.3
49.1,9.64
54.25,1.38
61.55,13.62
64.1,17.92
71.35,9.21
78.1,4.3
81.15,12.74
82,8.15
85.85,0.59
86,0.75
92,9.49
93.45,7.61
96.6,11.06
107.95,1.98
115.65,7.24
117.5,0.65
119.15,4.11
120.1,9.96
130.3,-0.79
141.45,-1.15
148,7.87
149.05,0.41
149.5,3.07
153.2,7.93
154.2,2.79
154.5,9.69
156.9,0.8
161.1,5.51
165.45,3.71
176,15.3
177.65,8.65
180.65,-0.94
189.9,21.15
202.05,21.18
203.6,8.88
212.1,-0.71
216.85,-2.4
232.1,13.22
233.1,1.01
233.5,18.36
243.25,0.02
261.4,9.65
269.2,4.26
274.3,-0.84
276.8,-2.59
279.6,4.17
284.45,7.57
290.2,8.66
305.35,0.4
319,10.15
328.25,1.48
335.55,23.06
336.4,2.27
336.8,-2.1
346.7,1.97
351.4,4.42
373.5,7.67
374.4,-0.48
374.7,7.28
384.2,6.84
386.45,10.26
396.75,-2.51
403.2,8.06
404.4,7.12
415.1,2.55
419.4,1.23
428.6,1.92
429.1,5.04
431,7.4
437.2,10.88
439.75,-1.58
457.4,15.41
458.3,10.55
464.45,0.03
465.85,0.74
467.6,22.15
477.25,9.7
480.2,6.71
485.2,10.1
486.8,1.52
491.85,-1.68
496.5,11.7
500.85,12.95
503.2,5.64
506.1,15.47
509.5,0.79
512.2,9.93
513.7,8.06
517.85,7.11
522.3,1.43
529.05,3.62
530.85,4.45
539.5,9.65
543.95,3.1
545.05,4.25
554.45,1.23
566.75,3.96
567.3,9.96
567.45,3.17
569.3,4.94
586.1,9.74
588.35,7.56
588.85,3.27
588.9,8.14
597.4,10.13
609.4,7.84
612.7,1.72
625,9.83
629.7,4.38
629.7,1.48
630.55,7.24
631.25,6.5
636.5,2.05
639.3,8.65
648.7,10.25
651.6,1.29
652.3,9.01
660.3,4.9
673.75,6.13
678.95,7.45
679.45,3.56
680.1,7.14
684.1,4.47
692.3,4.88
701.1,5.55
701.4,10.19
708.5,6.78
711.35,4.26
711.35,3.78
718.1,12.21
721.65,5.58
731.8,1.02
731.95,5.6
735,7.91
740.9,7.07
742.2,6.3
742.8,4.26
743,6.36
749.45,7.68
751.55,8.4
754.75,4.39
757.8,7.46
760.05,5.72
768.3,2.79
768.55,6.72
777.05,5.67
779.3,5.43
780,9.07
782.7,3.48
783.15,4.6
785.6,6.93
793.6,9.47
794.5,5.62
795.4,9.98
800.8,6.66
801.1,10.72
808.7,6.1
809.9,12.8
816.3,6.82
816.85,7.19
819.65,4.03
822.3,7.05
823.8,0.84
823.85,6.53
829.7,7.9
832.15,2.58
833.95,7.38
838.25,7.47
841.7,10.69
842.55,7.39
843.3,9.93
844.75,5.72
845.95,18.29
846.85,7.75
851.2,8.03
855.55,8.25
859.9,5.71
863.3,2.17
864.1,8.65
864.3,7.88
868.7,8.66
869,12.13
870.55,9.5
871.2,13.04
873.2,10.49
877.8,9.31
881.85,5.28
882.4,9.9
885.1,5.69
887,7.26
891.55,6.07
896.8,6.73
897.1,3.01
897.3,7.03
900.8,10.7
902.8,7.52
903.1,4.73
906,6.73
908.75,7.82
914.65,6.39
920.6,5.58
921.5,7.97
922.6,4.13
926.9,7.3
932.7,1.2
936.65,6.81
941.9,4.07
943.85,5.68
945.8,10.35
947.3,13.02
948.1,3.34
948.6,6.34
949.4,1.96
969.7,8.07
970.8,4.27
973.35,6.29
978.55,3.15
990.4,8.88
991.8,8.57
993.2,7.96
994.9,9.64
999,4.57
1005.3,3.77
1006.3,6.32
1010.6,9.4
1015.3,3.75
1017.1,9.1
1025.1,9.73
1030.7,6.59
1031.15,14.52
1032.9,0.73
1036.1,7.75
1044.25,10.67
1048.1,8.25
1052,8.75
1052.05,4.09
1055.2,10.93
1067.65,1.3
1069.8,3.39
1071.7,9.12
1072.55,20.7
1072.6,5.81
1074.2,9.67
1088.75,1.94
1092.95,23.14
1093.4,8.03
1093.7,9.53
1094.4,8.85
1098.4,13.6
1101.15,20.41
1103.05,11.15
1109.5,1.29
1113.3,10.29
1114.2,7.07
1116.9,8.12
1119.1,3.8
1128.55,1.34
1129.7,20.17
1129.9,25.44
1132.5,5.09
1133,9.62
1134.95,1.27
1135.1,5.9
1138.5,1.2
1138.9,8.57
1139.65,11.36
1148.55,0.98
1153.1,10.6
1155.5,7.72
1158.75,1.54
1158.85,25.66
1159.8,8.12
1161.5,10.69
1169.4,1.93
1175.8,9.71
1177.5,9.2
1178.7,7.61
1178.9,5.1
1180.05,1.65
1191.15,0.53
1191.65,9.21
1195.8,5.86
1196.6,8.53
1198.2,3.41
1202.45,1.73
1203.1,8.23
1205.6,7.92
1215.75,20.24
1216.8,13.27
1217.6,4.89
1217.9,7.64
1221.8,7.79
1224.15,2.02
1228.2,7.14
1234.05,1.38
1236.6,6.27
1238.4,7.48
1250.95,3.62
1252.3,6.33
1254.4,21.69
1255.1,6.93
1256.5,5.06
1258.55,19.88
1269.6,7.93
1274.9,6.42
1276.9,7.91
1286.35,18.11
1288.05,1.27
1294.4,5.01
1300.8,14.85
1301.6,7.25
1304.8,6.61
1312.25,11.56
1314.4,1.73
1317.7,13.75
1318.4,4.91
1326.6,2.05
1333.35,1.95
1336.8,6.67
1341.7,7.36
1343.35,13.52
1347.4,15.52
1355.4,0.55
1364.1,3.26
1367,5.13
1372.15,3.41
1376.9,9.65
1379.5,8.2
1386.7,17.29
1391.7,5.86
1394.9,-0.18
1407.6,14.09
1412.3,4.23
1417.7,8.24
1419,5.66
1421.3,6.64
1429.9,17.28
1438.75,16.77
1441.4,2.39
1447,5.01
1452.9,6.84
1454.5,8.38
1470.35,11.31
1471.45,9.98
1475.8,4.63
1476.8,8.37
1488.5,5.35
1491.8,7.6
1492.3,9.41
1501.8,12.48
1504.4,6.52
1514.2,20.78
1530,9.62
1530.3,8.33
1532.2,24.03
1532.4,4.03
1533,15.35
1536.4,8.83
1558.45,15.52
1560.2,7.47
1563.85,17.35
1567.4,8.8
1570.2,7.19
1584.5,9.72
1585.95,10.64
1588.2,5.38
1592.4,12.74
1605.3,9.41
1612.05,8.14
1612.85,19.12
1616.3,2.12
1618.2,9.46
1631.6,9.52
1636.55,5.71
1639.1,1.6
1639.15,17.81
1643,8.63
1644.4,8.88
1644.5,-0.12
1653.5,8
1671,12.31
1671.45,17.26
1678.5,8.09
1679.2,1.55
1680.8,10.81
1691.5,14.16
1692.75,8.14
1699.05,18.87
1718.2,11.95
1724.7,7.89
1725.1,6.27
1726.9,15.93
1732.45,6.36
1741.8,17.92
1745.4,16.06
1754.3,10.38
1755.9,12.48
1771,2.64
1771.5,7.51
1773.5,8.51
1779.8,12.14
1793.5,8.66
1800.1,26
1805.4,12.75
1810.45,18.26
1812,12.85
1815.65,8.34
1816.2,2.95
1830.4,7.97
1832.8,8.12
1836.6,9.76
1854,5.3
1856.2,21.05
1859,10.56
1859.35,10.33
1861.1,6.27
1867.3,13.19
1884.2,2.54
1884.8,5.47
1885,10.35
1900.3,2.59
1903.8,9.73
1908.35,25.46
1908.6,7.29
1910,1.33
1912.4,9
1932.7,8.82
1939.75,11.81
1940.2,9.8
1941.2,3.48
1946.25,4.92
1955.9,17.67
1957.1,9.18
1966.4,9.3
1976.2,13.28
1981.4,9.04
1981.9,8.23
1993.4,9.69
1998.9,26.03
1999.05,5.4
2005.45,3.51
2006.2,13.84
2013.5,9.38
2020.85,9.24
2022.1,7.57
2036.2,8.16
2040.75,22.51
2046.95,8.34
2050.5,7.75
2052.75,6.98
2063.2,7.51
2072.4,10.14
2073.3,7.13
2083.4,14.57
2087.7,8.26
2093.6,3.67
2101.6,7.25
2103.2,5.02
2113.1,6.91
2124.6,9.17
2125.3,13.28
2129.2,8.39
2136.9,4.24
2143.2,8.66
2155,4.72
2155.95,7.82
2159.2,8.05
2176.9,5.32
2183.65,7.04
2184.1,4.9
2195.6,8.97
2196.7,6.47
2211.3,7.06
2211.95,7.35
2213.6,4.85
2225.5,5.16
2238.15,7.82
2238.2,4.02
2248.7,5.34
2249.55,4.18
2258.1,9.25
2265.3,7.42
2268.1,9.28
2279.4,6.36
2283.7,5.14
2292.7,4.48
2303.15,8.5
2312.7,9.43
2316.7,7.39
2318.2,-0.3
2339.4,8.3
2343.6,-0.05
2351.5,6.51
2370.05,1.26
2388.25,4.84
2396.45,17
2396.75,0.98
2409.65,18.06
2412.4,8.73
2424.15,-0.79
2425.9,9.34
2426.55,7.03
2429.65,7.91
2438.55,4.56
2441.5,-0.84
2451,4.62
2465.75,9.04
2478.35,0.62
2484.7,9.19
2486.15,-2.11
2487.5,3.6
2503.7,8.8
2506.5,-0.95
2506.9,2.66
2520.4,8.15
2531.8,-0.64
2534.4,0.52
2536.3,7.32
2537.4,8.82
2551.95,7.79
2562.15,2.44
2565.3,9.29
2567.35,8.33
2575.35,14.32
2577.05,1.44
2582.7,8.48
2588.7,6.99
2598.9,9.08
2615.05,4.49
2615.4,8.41
2622.1,-0.83
2631.55,8.02
2638.55,18.27
2641.15,0.87
2646.6,9.33
2646.9,5.12
2657.5,8.79
2660.75,-0.54
2662.35,7.54
2665.45,-1.03
2677.55,7
2688.05,6.72
2692.65,7.41
2696.65,21.3
2698.1,5.69
2708.8,6.54
2709.55,4.63
2716.3,4.4
2728.55,7.63
2730.6,16.2
2731,7.52
2732.4,13.64
2734,26.94
2748.3,7.28
2761.35,10.78
2764.5,16.14
2765.95,19.47
2771.1,7.68
2776.7,6.83
2791.25,6.82
2793.9,12.81
2795.15,6.74
2798.15,22.35
2813,9.82
2818.8,7.71
2822.3,6.82
2831.3,25.6
2838.8,12.93
2841.9,9.25
2853,7.14
2864.3,17.79
2864.95,7.01
2883.6,9.35
2884.35,7.9
2897.4,24.74
2898.3,7.73
2898.8,7.35
2902.45,7.82
2915.3,11.5
2920.15,8.43
2930.45,15
2936.65,8.67
2946.5,9.45
2960.1,7.52
2963.5,23.07
2968.85,8.62
2970.75,-1.52
2977.15,13.95
2981.1,5.96
2990.6,11.09
3000.15,9.9
3001.9,19.75
3006.8,8.24
3021.1,9
3030.8,9.49
3036.55,10.74
3041.25,10.79
3051.5,8.84
3062.2,10.28
3064.9,10.57
3067.1,10.12
3081.65,17.98
3086.2,16.15
3093.65,9.39
3097.95,11.64
3121.1,10.94
3121.6,6.6
3122.15,10
3129.1,12.97
3145.55,9.4
3154.3,9.26
3157.1,10.46
3160.55,16.75
3161.65,16
3168.2,7.86
3191.4,9.35
3191.7,20.99
3194.3,8.31
3201.5,12.24
3214.7,7.64
3221.6,14.2
3231.3,7.1
3237.35,7.73
3241.8,20.18
3244.9,7.28
3251.6,10.01
3259.7,8.06
3268,8.44
3281.75,9.98
3282.9,7.3
3283.1,23.91
3304.8,8.31
3306.65,5.63
3312.8,7.94
3324.55,12.78
3333.2,2.35
3342.3,10.21
3342.5,9.35
3343.85,11.12
3362.3,6.02
3366.15,15.96
3373.75,8.66
3380.4,8.52
3393.55,4.27
3404.65,6.7
3406.45,19.81
3418.8,9.71
3426.15,2.49
3436.2,7.81
3437.4,9.69
3446.75,15.09
3454.6,8.76
3458.1,3.18
3467.3,6.86
3486.6,16.73
3489.35,6.49
3490.5,10.12
3498.3,9.67
3520.6,3.28
3521.9,9.45
3527.05,11.6
3528.75,8.36
3529.2,9.9
3548.8,9.26
3553,6.51
3559.4,7.96
3567.9,13.58
3575.7,8.13
3589.9,2.01
3590.5,8.88
3604.1,5.38
3606.95,18.7
3620.75,10.17
3622.9,10.57
3631.8,5.18
3632.6,8.89
3645.85,12.14
3651,9.24
3662,8.49
3674.85,6.96
3681.9,8.09
3685.6,15.26
3692.7,7.76
3712.9,6.96
3716.2,10.47
3718.1,9.12
3723.4,6.37
3724.7,13.18
3744,7.86
3761.65,7.52
3763.45,15.23
3771.3,8.58
3773.15,8.54
3802.9,13.54
3805.1,3.1
3810.3,5.57
3819.5,8.71
3823.95,13.7
3834.4,9.32
3851.4,4.36
3865.7,9.09
3881.8,11.14
3888.85,10.67
3896.4,6.32
3897.05,9.23
3907.1,9.3
3928.5,10
3940.5,8.22
3947.85,3.74
3952.75,10.62
3958.7,9.02
3960.2,10.69
3962.65,7
3985.85,7.06
3992.85,4.81
4001.3,10.07
4011.95,6.81
4018.45,15.88
4025,10.04
4035.4,7.85
4038,5.91
4056.85,7.78
4068.5,7.08
4086.15,13.79
4087.95,9.41
4096.3,13.76
4100.5,7.26
4102.9,7.39
4113,6.31
4119.15,8.23
4131.95,8.87
4151.5,7.96
4151.9,19
4162.05,8.49
4183.3,7.51
4187,8.91
4191,7.92
4191.6,12.8
4192.1,8.15
4213.7,15.55
4214.8,8.98
4215.85,7.93
4237.65,7.86
4247.15,11.43
4247.9,5.48
4255.45,13.78
4258.95,5.96
4268.35,7.18
4279.2,7.13
4279.5,11.24
4284.1,7.86
4288.4,10.75
4292.8,13.28
4299.7,8.38
4310.55,15.63
4315.45,7.86
4320.4,9.53
4325.15,13.37
4329.8,7.93
4332.4,6.11
4341.2,19.87
4344,8.19
4344.4,6.33
4348.7,7.88
4355.95,10.86
4356.3,8.59
4357.95,8.11
4368.3,9.46
4371.6,15.84
4371.9,7.65
4380.1,8.8
4384.7,16.29
4386.4,14.49
4387.05,8.33
4392,8.76
4401.55,10.59
4402.6,7.8
4403.8,8.26
4416.1,15.14
4418.4,8.28
4420,10.5
4434.9,6.87
4440.8,9.23
4451.15,7.9
4461.6,7.81
4468.9,8
4484.3,14.53
4487.25,8.33
4502,8.14
4504.3,7.99
4517.95,8.46
4531.65,8.32
4542.4,7.19
4544.1,8.52
4570,9.24
4578.7,8.67
4582.1,7.68
4609.65,8.85
4621.3,9.02
4649.75,7.8
4660.7,8.28
4674,10.49
4690,8.5
4698.2,6.69
4730.9,8.56
4736,7.03
4769.8,14.51
4770.9,7.75
4772.15,10.03
4803.4,9.15
4835.8,8.3
4866.6,22.81
4868.8,8.01
4901.7,7.36
4934.8,7.71
4966.8,12.92
4968,6.74
5001.2,6.56
